participant_id,group,nationality,age,gender,year_of_study,w1,w2,w3,w4,w5,w6,w7,w4r,w6r,b1,b2,b3,b4,b5,d1,d2,d3,d4,wb_mean,bel_mean,dis_mean,open_response
P110,UK,England,22,Female,1,4.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,3.7142857142857144,4.6,1.5,Budgeting is a skill I'm still learning.
P164,EU,Sweden,24,Female,3,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,4.4,3.25,
P123,UK,Scotland,25,Female,1,4.0,4.0,3.0,1.0,4.0,2.0,4.0,5.0,4.0,5.0,6.0,5.0,6.0,6.0,1.0,1.0,1.0,,4.0,5.6,1.0,I feel supported by my peers and staff.
P028,UK,Wales,23,Female,1,4.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,6.0,6.0,2.0,2.0,1.0,1.0,4.0,5.4,1.5,Socialising helps me stay focused; I'd do more if I had time.
P105,UK,England,24,Female,2,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,4.6,2.75,Not really
P061,UK,England,31,Male,1,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.142857142857143,3.6,2.25,Nothing to add
P147,EU,Germany,24,Male,1,3.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,6.0,5.0,6.0,5.0,6.0,3.0,2.0,2.0,2.0,3.5714285714285716,5.6,2.25,"Missing my home country's cuisine, but I'm learning to cook my own dishes."
P084,UK,Scotland,23,Female,2,4.0,4.0,4.0,1.0,4.0,2.0,3.0,5.0,4.0,5.0,6.0,6.0,6.0,5.0,1.0,1.0,1.0,2.0,4.0,5.6,1.25,"My accommodation is modern, but rent's rising fast."
P235,International,Nigeria,21,Male,2,4.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,6.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,3.4285714285714284,5.2,2.25,
P284,International,India,27,Female,1,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,2.4285714285714284,2.2,3.25,
P195,EU,Spain,23,Male,3,3.0,3.0,,3.0,3.0,4.0,3.0,3.0,2.0,4.0,5.0,5.0,5.0,6.0,2.0,1.0,2.0,3.0,2.8333333333333335,5.0,2.0,"It's been challenging at times, but I'm proud of how much I've grown."
P244,International,Malaysia,24,Female,2,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,6.0,2.0,2.0,2.0,3.0,3.5714285714285716,5.0,2.25,"Celebrate small wins, like passing exams, to stay motivated."
P126,UK,England,26,Male,1,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.2,2.75,Social life is great—lots of events and friends to keep me grounded.
P167,EU,Portugal,24,Female,2,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,6.0,6.0,6.0,7.0,7.0,2.0,1.0,1.0,1.0,3.2857142857142856,6.4,1.25,"Financial stress sometimes creeps in, but part-time work helps."
P241,International,Kenya,24,Female,1,5.0,4.0,4.0,1.0,4.0,1.0,4.0,5.0,5.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,4.428571428571429,2.4,3.25,
P254,International,India,23,Female,3,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,"Celebrate small wins, like passing exams, to stay motivated."
P228,International,China,23,Female,1,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.4285714285714284,3.2,3.5,"Sometimes feel my culture is exoticized, which is hurtful."
P282,International,South Korea,22,Female,3,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.7142857142857144,4.0,3.25,"Learned to advocate for myself, which boosts my confidence."
P190,EU,Netherlands,21,Male,2,4.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,6.0,5.0,5.0,2.0,3.0,3.0,2.0,3.7142857142857144,5.2,2.5,"Missing my family's celebrations, but I've created new traditions here."
P152,EU,Germany,29,Female,1,3.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,2.4285714285714284,3.4,3.25,"It's been challenging at times, but I'm proud of how much I've grown."
P001,UK,England,24,Male,2,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,1.0,3.0,4.8,1.25,I'd like clearer guidelines on assignment deadlines.
P268,International,China,24,Male,1,3.0,3.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,5.0,6.0,5.0,6.0,5.0,2.0,3.0,3.0,2.0,3.857142857142857,5.4,2.5,"Some professors assume I lack motivation, which isn't true."
P256,International,Brazil,29,Male,2,5.0,4.0,5.0,1.0,3.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,,2.0,2.0,2.0,4.428571428571429,5.4,2.0,"Cultural adjustment is tough, but I'm learning to navigate it."
P277,International,India,28,Female,2,1.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.7142857142857142,2.4,2.0,Microaggressions like 'You're so articulate' make me feel tokenized.
P263,International,Nigeria,26,Female,2,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.4285714285714284,3.0,2.75,"Discrimination in campus services, like being ignored by staff."
P300,International,Pakistan,25,Male,2,4.0,4.0,5.0,1.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,4.428571428571429,3.6,2.5,"Cultural adjustment is tough, but I'm learning to navigate it."
P089,UK,England,22,Female,2,3.0,4.0,4.0,3.0,5.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,5.0,2.0,2.0,2.0,2.0,3.7142857142857144,5.2,2.0,
P078,UK,England,25,Female,3,3.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,6.0,6.0,7.0,7.0,6.0,1.0,2.0,2.0,2.0,3.4285714285714284,6.4,1.75,Socialising helps me stay focused; I'd do more if I had time.
P124,UK,Wales,24,Female,1,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,6.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,2.0,2.7142857142857144,5.2,2.25,I feel supported by my peers and staff.
P096,UK,England,26,Female,1,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,6.0,6.0,,6.0,1.0,2.0,1.0,2.0,4.0,5.75,1.5,
P295,International,China,21,Male,3,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,3.4285714285714284,3.6,1.75,
P012,UK,England,21,Male,2,4.0,4.0,3.0,1.0,3.0,2.0,3.0,5.0,4.0,7.0,,7.0,7.0,6.0,2.0,2.0,1.0,2.0,3.7142857142857144,6.75,1.75,Budgeting is a skill I'm still learning.
P115,UK,Scotland,27,Female,1,3.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,6.0,6.0,5.0,6.0,7.0,2.0,,2.0,2.0,3.142857142857143,6.0,2.0,"Finances are tight, but part-time work covers basics."
P258,International,India,23,Male,2,2.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.4,3.5,"Family expects me to excel academically, adding pressure."
P220,International,Pakistan,21,Male,1,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,2.857142857142857,4.2,4.0,"It's lonely sometimes, but I remind myself why I'm here."
P253,International,Pakistan,21,Female,2,4.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,3.0,3.857142857142857,5.2,2.75,"The workload combined with cultural adjustment is exhausting, but I'm pushing through."
P286,International,India,26,Female,2,4.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,2.857142857142857,3.8,2.75,
P262,International,Pakistan,21,Male,1,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,2.5714285714285716,2.6,3.25,
P179,EU,Poland,23,Female,3,4.0,5.0,5.0,2.0,5.0,2.0,5.0,4.0,4.0,6.0,6.0,6.0,5.0,5.0,2.0,2.0,2.0,1.0,4.571428571428571,5.6,1.75,"Adjusting to UK culture has been smooth, but I miss my family's food and warm evenings at home."
P020,UK,Northern Ireland,26,Female,1,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,2.0,2.0,3.0,2.0,2.5714285714285716,4.4,2.25,Not really
P170,EU,Spain,22,Non-Binary,3,2.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,5.0,5.0,4.0,2.0,3.0,2.0,2.0,2.7142857142857144,4.2,2.25,"Missing family holidays, but I've made memories with new friends."
P240,International,Malaysia,26,Male,1,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.5714285714285716,2.4,3.25,"Missing family dearly, especially holidays."
P161,EU,Germany,24,Female,1,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,3.4285714285714284,4.6,3.0,"Adjusting to the pace of life here is harder than I thought, but I'm getting better."
P074,UK,England,28,Female,1,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,6.0,6.0,6.0,6.0,5.0,1.0,1.0,1.0,1.0,3.5714285714285716,5.8,1.0,I sometimes feel pressure to overcommit.
P018,UK,England,23,Female,2,3.0,3.0,3.0,4.0,1.0,3.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,2.7142857142857144,4.2,1.5,Nothing to add
P063,UK,England,23,Female,2,3.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,3.857142857142857,3.8,1.25,I miss home cooking but manage with budget meals.
P250,International,China,28,Non-Binary,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.75,My home country's expectations weigh heavily on my mental health.
P229,International,Nigeria,24,Male,2,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,2.0,3.0,2.0,3.0,2.5714285714285716,4.6,2.5,I wish there were more culturally inclusive events on campus.
P239,International,Malaysia,25,Female,1,3.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.7142857142857144,2.8,2.0,"Missing family dearly, especially holidays."
P230,International,Nigeria,24,Female,3,2.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,2.142857142857143,2.6,3.75,
P048,UK,England,21,Female,2,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,5.0,6.0,5.0,5.0,1.0,1.0,1.0,1.0,3.142857142857143,5.4,1.0,"Workload's tough, but I manage with time blocks and support groups."
P251,International,China,22,Male,2,2.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.142857142857143,3.0,3.0,I wish there were more culturally inclusive events on campus.
P080,UK,Scotland,23,Female,1,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,3.5714285714285716,4.8,1.0,Nothing to add
P291,International,China,24,Female,2,2.0,1.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,2.4285714285714284,4.0,2.5,
P021,UK,England,25,Non-Binary,3,,4.0,4.0,1.0,4.0,2.0,4.0,5.0,4.0,7.0,7.0,7.0,7.0,7.0,2.0,1.0,1.0,1.0,4.166666666666667,7.0,1.25,"Workload's tough, but I manage with time blocks and support groups."
P141,EU,Sweden,23,Male,3,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,2.0,1.0,2.0,2.0,3.142857142857143,4.2,1.75,"UK social life feels more formal than in Spain, but I'm learning to navigate it."
P193,EU,Sweden,26,Female,1,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.4285714285714284,3.4,3.25,"Adjusting to UK culture has been smooth, but I miss my family's food and warm evenings at home."
P131,EU,Germany,25,Female,1,5.0,5.0,5.0,2.0,4.0,1.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,4.571428571428571,5.8,1.0,"UK social life feels more formal than in Spain, but I'm learning to navigate it."
P216,International,India,28,Female,2,3.0,4.0,4.0,3.0,5.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.857142857142857,2.8,3.0,Struggling with language barriers and feeling excluded in social groups.
P245,International,India,21,Female,3,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.5714285714285716,3.6,3.25,"Financial stress forces me to work extra hours, affecting study time."
P060,UK,Northern Ireland,21,Female,1,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,5.0,1.0,3.0,1.0,2.0,3.5714285714285716,5.6,1.75,Workshops on time management would be helpful.
P222,International,China,24,Female,1,3.0,3.0,4.0,2.0,3.0,1.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.5714285714285716,3.0,2.25,"Some classmates make assumptions about my background, which is frustrating."
P177,EU,Sweden,28,Male,1,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,3.5714285714285716,4.4,3.25,"The weather here is brutal, but I've adapted to the rhythm of grey skies."
P056,UK,England,25,Male,1,5.0,4.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,1.0,2.0,3.0,2.0,3.857142857142857,6.0,2.0,I sometimes feel pressure to overcommit.
P292,International,China,26,Male,2,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.5714285714285716,2.4,1.75,Juggling visa deadlines and financial aid applications is overwhelming.
P255,International,Malaysia,28,Male,1,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.7142857142857144,3.4,3.75,Missing family's cooking and traditions deeply affects my mood.
P198,EU,Italy,26,Female,1,4.0,4.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,4.142857142857143,4.0,2.75,"Financial stress sometimes creeps in, but part-time work helps."
P069,UK,Scotland,24,Male,2,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,7.0,7.0,6.0,5.0,6.0,1.0,1.0,1.0,1.0,5.0,6.2,1.0,"My accommodation is modern, but rent's rising fast."
P211,EU,France,21,Non-Binary,2,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,3.5714285714285716,3.4,4.25,"The language is a hurdle, but I'm improving thanks to language apps and friends."
P233,International,China,22,Female,1,4.0,4.0,4.0,2.0,4.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,4.142857142857143,5.0,1.0,"Made friends who've helped me adapt, but systemic bias remains."
P202,EU,Portugal,26,Male,1,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,6.0,6.0,5.0,6.0,5.0,2.0,2.0,1.0,2.0,3.142857142857143,5.6,1.75,"Adjusting to UK culture took time, but the support from my university made it easier."
P169,EU,Spain,21,Male,2,4.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,3.857142857142857,7.0,1.0,"Missing my family's celebrations, but I've created new traditions here."
P186,EU,Spain,25,Male,1,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,3.4285714285714284,4.0,2.0,"Financial stress is a constant, but I'm focusing on saving for the future."
P036,UK,England,21,Female,1,4.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,6.0,2.0,1.0,1.0,1.0,3.7142857142857144,4.8,1.25,"Finances are tight, but part-time work covers basics."
P130,UK,Wales,23,Female,1,4.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,1.0,2.0,3.0,3.857142857142857,4.0,2.0,I'd love more mental health resources on campus.
